,Song,Artist(s),Writer(s),Album,Year,Lyrics,Type
50,Coney Island,Taylor Swift featuring the National,Taylor Swift Aaron Dessner Bryce Dessner William Bowery,Evermore,2020,"Break my soul in two looking for you
But you're right here
If I can't relate to you anymore
Then who am I related to?
And if this is the long haul
How'd we get here so soon?
Did I close my fist around something delicate?
Did I shatter you?

And I'm sitting on a bench in Coney Island
Wondering where did my baby go?
The fast times, the bright lights, the merry go
Sorry for not making you my centerfold

Over and over
Lost again with no surprises
Disappointments, close your eyes
And it gets colder and colder
When the sun goes down

The question pounds my head
What's a lifetime of achievement
If I pushed you to the edge?
But you were too polite to leave me
And do you miss the rogue
Who coaxed you into paradise and left you there?
Will you forgive my soul
When you're too wise to trust me and too old to care?
'Cause we were like the mall before the internet
It was the one place to be
The mischief, the gift-wrapped suburban dreams
Sorry for not winning you an arcade ring

Over and over
Lost again with no surprises
Disappointments, close your eyes
And it gets colder and colder
When the sun goes down

Were you waiting at our old spot
In the tree line
By the gold clock
Did I leave you hanging every single day?
Were you standing in the hallway
With a big cake, happy birthday
Did I paint your bluest skies the darkest grey?
A universe away
And when I got into the accident
The sight that flashed before me was your face
But when I walked up to the podium, I think that I forgot to say your name
I'm on a bench in Coney Island
Wondering where did my baby go?
The fast times, the bright lights, the merry go
Sorry for not making you my centerfold

Over and over
Lost again with no surprises
Disappointments, close your eyes
And it gets colder and colder
When the sun goes down

When the sun goes down
The sight that flashed before me was your face
When the sun goes down
But I think that I forgot to say your name
Over and over
Sorry for not making you my, making you my
Making you my centerfold",Feature
51,Cornelia Street,Taylor Swift,Taylor Swift,Lover,2019,"We were in the backseat
Drunk on something stronger than the drinks in the bar
""I rent a place on Cornelia Street""
I say casually in the car
We were a fresh page on the desk
Filling in the blanks as we go
As if the street lights pointed in an arrow head
Leading us home

And I hope I never lose you, hope it never ends
I'd never walk Cornelia Street again
That's the kinda heartbreak time could never mend
I'd never walk Cornelia Street again
And baby, I get mystified by how this city screams your name
And baby, I'm so terrified of if you ever walk away
I'd never walk Cornelia Street again
I'd never walk Cornelia Street again

Windows flung right open, autumn air
Jacket 'round my shoulders is yours
We bless the rains on Cornelia Street
Memorize the creaks in the floor
Back when we were card sharks, playing games
I thought you were leading me on
I packed my bags, left Cornelia Street
Before you even knew I was gone
But then you called, showed your hand
I turned around before I hit the tunnel
Sat on the roof, you and I

I hope I never lose you, hope it never ends
I'd never walk Cornelia Street again
That's the kinda heartbreak time could never mend
I'd never walk Cornelia Street again
And baby, I get mystified by how this city screams your name (City screams your name)
And baby, I'm so terrified of if you ever walk away
I'd never walk Cornelia Street again
I'd never walk Cornelia Street again
You hold my hand on the street
Walk me back to that apartment
Years ago, we were just inside
Barefoot in the kitchen
Sacred new beginnings
That became my religion, listen

I hope I never lose you
I'd never walk Cornelia Street again
Oh, never again
And baby, I get mystified by how this city screams your name (City screams your name)
And baby, I'm so terrified of if you ever walk away
I'd never walk Cornelia Street again
I'd never walk Cornelia Street again
I don't wanna lose you (Hope it never ends)
I'd never walk Cornelia Street again
I don't wanna lose you (Yeah)

""I rent a place on Cornelia Street""
I say casually in the car",Solo
52,Cowboy like Me,Taylor Swift,Taylor Swift Aaron Dessner,Evermore,2020,"And the tennis court was covered up
With some tent-like thing
And you asked me to dance
But I said, ""Dancin' is a dangerous game""
Oh, I thought
This is gonna be one of those things
Now I know
I'm never gonna love again

I've got some tricks up my sleeve
Takes one to know one
You're a cowboy like me

Never wanted love
Just a fancy car
Now I'm waiting by the phone
Like I'm sitting in an airport bar
You had some tricks up your sleeve
Takes one to know one
You're a cowboy like me
Perched in the dark
Tellin' all the rich folks anything they wanna hear
Like it could be love
I could be the way forward
Only if they pay for it
You're a bandit like me
Eyes full of stars
Hustling for the good life
Never thought I'd meet you here
It could be love
We could be the way forward
And I know I'll pay for it

You're a cowboy like me
Perched in the dark
Tellin' all the rich folks anything they wanna hear
Like it could be love
I could be the way forward
Only if they pay for it
You're a bandit like me
Eyes full of stars
Hustlin' for the good life
Never thought I'd meet you here
It could be love
We could be the way forward
And I know I'll pay for it
And the skeletons in both our closets
Plotted hard to fuck this up
And the old men that I've swindled
Really did believe I was the one
And the ladies lunchin' have their stories about
When you passed through town
Oh, but that was all before I locked it down

Now you hang from my lips
Like the Gardens of Babylon
With your boots beneath my bed
Forever is the sweetest con

I've had some tricks up my sleeve
Takes one to know one
You're a cowboy like me

And I'm never gonna love again
I'm never gonna love again
I'm never gonna love again",Solo
53,Crazier,Taylor Swift,Taylor Swift Robert Ellis Orrall,Hannah Montana: The Movie,2009,"I'd never gone with the wind, just let it flow
Let it take me where it wants to go
'Til you open the door, there's so much more
I'd never seen it before
I was tryin' to fly but I couldn't find wings
But you came along and you changed everything

You lift my feet off the ground
You spin me around
You make me crazier, crazier
Feels like I'm fallin' and I am lost in your eyes
You make me crazier, crazier, crazier

I've watched from a distance as you made life your own
Every sky was your own kind of blue
And I wanted to know how that would feel
And you made it so real
You showed me somethin' that I couldn't see
You opened my eyes
And you made me believe

You lift my feet off the ground
You spin me around
You make me crazier, crazier
Feels like I'm fallin' and I am lost in your eyes
You make me crazier, crazier, crazier, oh
Baby, you showed me what livin' is for
I don't wanna hide anymore
Oh-oh

You lift my feet off the ground
You spin me around
You make me crazier, crazier
Feels like I'm fallin' and I am lost in your eyes
You make me crazier, crazier, crazier
Crazier, crazier",Solo
54,Cruel Summer,Taylor Swift,Taylor Swift Jack Antonoff St. Vincent,Lover,2019,"(Yeah, yeah, yeah, yeah)

Fever dream high in the quiet of the night
You know that I caught it (Oh yeah, you're right, I want it)
Bad, bad boy, shiny toy with a price
You know that I bought it (Oh yeah, you're right, I want it)

Killing me slow, out the window
I'm always waiting for you to be waiting below
Devils roll the dice, angels roll their eyes
What doesn't kill me makes me want you more

And it's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, whoa-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, whoa-oh
It's a cruel summer with you

Hang your head low in the glow of the vending machine
I'm not dying (Oh yeah, you're right, I want it)
We say that we'll just screw it up in these trying times
We're not trying (Oh yeah, you're right, I want it)
So cut the headlights, summer's a knife
I'm always waiting for you just to cut to the bone
Devils roll the dice, angels roll their eyes
And if I bleed, you'll be the last to know, oh

It's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, whoa-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, whoa-oh
It's a cruel summer with you

I'm drunk in the back of the car
And I cried like a baby comin' home from the bar (Oh)
Said, ""I'm fine,"" but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer just to seal my fate (Oh)
And I scream, ""For whatever it's worth
I love you, ain't that the worst thing you ever heard?""
He looks up, grinnin' like a devil
It's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, whoa-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, whoa-oh
It's a cruel summer with you

I'm drunk in the back of the car
And I cried like a baby comin' home from the bar (Oh)
Said, ""I'm fine,"" but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer just to seal my fate (Oh)
And I scream, ""For whatever it's worth
I love you, ain't that the worst thing you ever heard?""
(Yeah, yeah, yeah, yeah)",Solo
55,Dancing with Our Hands Tied,Taylor Swift,Taylor Swift Max Martin Shellback Oscar Holter,Reputation,2017,"I, I loved you in secret
First sight, yeah, we love without reason
Oh, twenty-five years old
Oh, how were you to know? And
My, my love had been frozen
Deep blue, but you painted me golden
Oh, and you held me close
Oh, how was I to know? I - 

Could've spent forever with your hands in my pockets
Picture of your face in an invisible locket
You said there was nothing in the world that could stop it
I had a bad feeling
And darling, you had turned my bed into a sacred oasis
People started talking, putting us through our paces
I knew there was no one in the world who could take it
I had a bad feeling

But we were dancing
Dancing with our hands tied, hands tied
Yeah, we were dancing
Like it was the first time, first time
Yeah, we were dancing
Dancing with our hands tied, hands tied
Yeah, we were dancing
And I had a bad feeling
But we were dancing
I, I loved you in spite of
Deep fears that the world would divide us
So, baby, can we dance
Oh, through an avalanche? And
Say, say that we got it
I'm a mess, but I'm the mess that you wanted
Oh, 'cause it's gravity
Oh, keeping you with me, I - 

Could've spent forever with your hands in my pockets
Picture of your face in an invisible locket
You said there was nothing in the world that could stop it
I had a bad feeling

But we were dancing
Dancing with our hands tied, hands tied
Yeah, we were dancing
Like it was the first time, first time
Yeah, we were dancing
Dancing with our hands tied, hands tied
Yeah, we were dancing (Knew we had our hands tied)
And I had a bad feeling
But we were dancing
I'd kiss you as the lights went out
Swaying as the room burned down
I'd hold you as the water rushes in
If I could dance with you again
I'd kiss you as the lights went out
Swaying as the room burned down
I'd hold you as the water rushes in
If I could dance with you again (Again)

Dancing with our hands tied, hands tied
Oh, yeah, we were dancing
Like it was the first time, first time (First time, first time)
Yeah, we were dancing (Oh)
Dancing with our hands tied, hands tied (Dancing with our hands tied)
Yeah, we were dancing (Ooh)
And I had a bad feeling (Had a bad feeling)
But we were dancing

(Ooh-ooh, ooh-ooh)
Hands tied, hands tied (Dancing)",Solo
56,Daylight,Taylor Swift,Taylor Swift,Lover,2019,"My love was as cruel as the cities I lived in
Everyone looked worse in the light
There are so many lines that I've crossed unforgiven
I'll tell you the truth but never goodbye

I don't wanna look at anything else now that I saw you
I don't wanna think of anything else now that I thought of you
I've been sleepin' so long in a twenty-year dark night
And now I see daylight, I only see daylight

Luck of the draw only draws the unlucky
And so I became the butt of the joke
I wounded the good and I trusted the wicked
Clearin' the air, I breathed in the smoke

Maybe you ran with the wolves and refused to settle down
Maybe I've stormed out of every single room in this town
Threw out our cloaks and our daggers because it's morning now
It's brighter now, now

I don't wanna look at anything else now that I saw you
(I can never look away)
I don't wanna think of anything else now that I thought of you
(Things will never be the same)
I've been sleepin' so long in a twenty-year dark night
(Now I'm wide awake)
And now I see daylight (Daylight), I only see daylight (Daylight)
I only see daylight, daylight, daylight, daylight
I only see daylight, daylight, daylight, daylight

And I can still see it all (In my mind)
All of you, all of me (Intertwined)
I once believed love would be (Black and white)
But it's golden (Golden)
And I can still see it all (In my head)
Back and forth from New York (Sneakin' in your bed)
I once believed love would be (Burnin' red)
But it's golden
Like daylight, like daylight
Like daylight, daylight

I don't wanna look at anything else now that I saw you
(I can never look away)
And I don't wanna think of anything else now that I thought of you
(Things will never be the same)
I've been sleepin' so long in a twenty-year dark night
(Now I'm wide awake)
And now I see daylight (I see daylight), I only see daylight (Ah)

I only see daylight, daylight, daylight, daylight
I only see daylight, daylight, daylight, daylight (Ah)
(And I can still see it all)
I only see daylight, daylight, daylight, daylight
(And I can still see it all, back and forth from New York)
I only see daylight, daylight, daylight, daylight
(I once believed love would be burning red)
Like daylight
It's golden like daylight
You gotta step into the daylight and let it go
Just let it go, let it go
I wanna be defined by the things that I love
Not the things I hate
Not the things I'm afraid of, I'm afraid of
Or the things that haunt me in the middle of the night
I, I just think that
You are what you love",Solo
57,Death by a Thousand Cuts,Taylor Swift,Taylor Swift Jack Antonoff,Lover,2019,"My, my, my, my
My, my, my, my
My, my, my, my
My, my, my, my
My, my, my, my
My, my, my, my
My, my, my, my
My, my, my, my

Saying goodbye is death by a thousand cuts
Flashbacks waking me up
I get drunk, but it's not enough
'Cause the morning comes and you're not my baby
I look through the windows of this love
Even though we boarded them up
Chandelier's still flickering here
'Cause I can't pretend it's okay when it's not
It's death by a thousand cuts

I dress to kill my time, I take the long way home
I ask the traffic lights if it'll be alright
They say, ""I don't know""
And what once was ours is no one's now
I see you everywhere, the only thing we share
Is this small town
You said it was a great love, one for the ages
But if the story's over, why am I still writing pages?
'Cause saying goodbye is death by a thousand cuts
Flashbacks waking me up
I get drunk, but it's not enough
'Cause the morning comes and you're not my baby
I look through the windows of this love
Even though we boarded them up
Chandelier's still flickering here
'Cause I can't pretend it's okay when it's not
It's death by a thousand cuts

My heart, my hips, my body, my love
Tryna find a part of me that you didn't touch
Gave up on me like I was a bad drug
Now I'm searching for signs in a haunted club
Our songs, our films, united we stand
Our country, guess it was a lawless land
Quiet my fears with the touch of your hand
Paper cut stings from our paper-thin plans
My time, my wine, my spirit, my trust
Tryna find a part of me you didn't take up
Gave you too much, but it wasn't enough
But I'll be alright, it's just a thousand cuts

I get drunk, but it's not enough
'Cause you're not my baby
I look through the windows of this love
Even though we boarded them up
Chandelier's still flickering here
'Cause I can't pretend it's okay when it's not
No, it's not
It's death by a thousand cuts (You didn't touch)
Tryna find a part of me that you didn't touch
My body, my love, my trust (It's death by a thousand cuts)
But it wasn't enough, it wasn't enough, no, no

I take the long way home
I ask the traffic lights if it'll be alright
They say, ""I don't know""",Solo
58,Dear John,Taylor Swift,Taylor Swift,Speak Now,2010,"Long were the nights when
My days once revolved around you
Counting my footsteps
Praying the floor won't fall through again
And my mother accused me of losing my mind
But I swore I was fine
You paint me a blue sky
Then go back and turn it to rain
And I lived in your chess game
But you changed the rules everyday
Wondering which version of you I might get on the phone tonight
Well, I stopped pickin' up and this song is to let you know why

Dear John, I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress cried the whole way home
I should've known

Well, maybe it's me
And my blind optimism to blame
Or maybe it's you and your sick need
To give love and take it away
And you'll add my name to your long list of traitors
Who don't understand
And I look back in regret how I ignored when they said
""Run as fast as you can""
Dear John, I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress cried the whole way home
Dear John, I see it all now, it was wrong
Don't you think nineteen's too young
To be played by your dark, twisted games when I loved you so?
I should've known

You are an expert at sorry and keeping lines blurry
Never impressed by me acing your tests
All the girls that you've run dry have tired lifeless eyes
'Cause you burned them out
But I took your matches before fire could catch me
So don't look now
I'm shining like fireworks over your sad empty town
Oh, oh

Dear John, I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress cried the whole way home
I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress wrote you a song
You should've known
You should've known
Don't you think I was too young?
You should've known",Solo
59,Dear Reader,Taylor Swift,Taylor Swift Jack Antonoff,Midnights (3am Edition),2022,"Dear reader, if it feels like a trap
You're already in one
Dear reader, get out your map
Pick somewhere and just run
Dear reader, burn all the files
Desert all your past lives
And if you don't recognize yourself
That means you did it right

Never take advice from someone who's falling apart
Never take advice from someone who's falling apart (You should find another)

Dear reader, bend when you can
Snap when you have to
Dear reader, you don't have to answer
Just 'cause they asked you
(You should find another)
Dear reader, the greatest of luxuries is your secrets
Dear reader, when you aim at the devil
Make sure you don't miss

Never take advice from someone who's falling apart
Never take advice from someone who's falling apart
So I wander through these nights
I prefer hiding in plain sight
My fourth drink in my hand
These desperate prayers of a cursed man
Spilling out to you for free
But darling, darling, please
You wouldn't take my word for it if you knew who was talking
If you knew where I was walking
To a house, not a home, all alone 'cause nobody's there
Where I pace in my pen and my friends found friends who care
No one sees when you lose when you're playing solitaire

You should find another guiding light, guiding light
But I shine so bright
You should find another guiding light, guiding light
But I shine so bright
You should find another, you should find another (Guiding light)
Find another, you should find another
You should find another",Solo
60,Delicate,Taylor Swift,Taylor Swift  Max Martin  Shellback,Reputation,2017,"This ain't for the best
My reputation's never been worse, so
You must like me for me
We can't make
Any promises now, can we, babe?
But you can make me a drink
Dive bar on the East Side, where you at?
Phone lights up my nightstand in the black
Come here, you can meet me in the back
Dark jeans and your Nikes, look at you
Oh, damn, never seen that color blue
Just think of the fun things we could do

('Cause I like you) This ain't for the best
My reputation's never been worse, so
You must like me for me
(Yeah, I want you) We can't make
Any promises now, can we, babe?
But you can make me a drink

Is it cool that I said all that?
Is it chill that you're in my head?
'Cause I know that it's delicate (Delicate)
Is it cool that I said all that?
Is it too soon to do this yet?
'Cause I know that it's delicate
Isn't it? Isn't it? Isn't it?
Isn't it?
Isn't it? Isn't it? Isn't it?
Isn't it delicate?

Third floor on the West Side, me and you
Handsome, you're a mansion with a view
Do the girls back home touch you like I do?
Long night with your hands up in my hair
Echoes of your footsteps on the stairs
Stay here, honey, I don't wanna share

('Cause I like you) This ain't for the best
My reputation's never been worse, so
You must like me for me
(Yeah, I want you) We can't make
Any promises now, can we, babe?
But you can make me a drink

Is it cool that I said all that?
Is it chill that you're in my head?
'Cause I know that it's delicate (Delicate)
Is it cool that I said all that?
Is it too soon to do this yet?
'Cause I know that it's delicate
Isn't it? Isn't it? Isn't it?
Isn't it?
Isn't it? Isn't it? Isn't it?
Isn't it delicate?

Sometimes, I wonder, when you sleep
Are you ever dreaming of me?
Sometimes, when I look into your eyes
I pretend you're mine, all the damn time

('Cause I like you)
Is it cool that I said all that?
Is it chill that you're in my head?
'Cause I know that it's delicate (Delicate)
(Yeah, I want you)
Is it cool that I said all that?
Is it too soon to do this yet?
'Cause I know that it's delicate (Delicate)
('Cause I like you)
Is it cool that I said all that? (Isn't it?)
Is it chill that you're in my head? (Isn't it? Isn't it?)
'Cause I know that it's delicate (Isn't it delicate?)
(Yeah, I want you)
Is it cool that I said all that? (Isn't it?)
Is it too soon to do this yet? (Isn't it? Isn't it?)
'Cause I know that it's delicate
Isn't it delicate?",Solo
61,Don't Blame Me,Taylor Swift,Taylor Swift  Max Martin  Shellback,Reputation,2017,"Don't blame me, love made me crazy
If it doesn't, you ain't doin' it right
Lord, save me, my drug is my baby
I'll be usin' for the rest of my life

I've been breakin' hearts a long time
And toyin' with them older guys
Just playthings for me to use
Something happened for the first time
In the darkest little paradise
Shaking, pacin', I just need you

For you, I would cross the line
I would waste my time
I would lose my mind
They say, ""She's gone too far this time""

Don't blame me, love made me crazy
If it doesn't, you ain't doin' it right
Lord, save me, my drug is my baby
I'll be usin' for the rest of my life
Don't blame me, love made me crazy
If it doesn't, you ain't doin' it right
Oh, Lord, save me, my drug is my baby
I'll be usin' for the rest of my life
My name is whatever you decide
And I'm just gonna call you mine
I'm insane, but I'm your baby (Your baby)
Echoes (Echoes) of your name inside my mind
Halo hiding my obsession
I once was poison ivy, but now I'm your daisy

And, baby, for you
I would (I would) fall from grace
Just to (Just to) touch your face
If you (If you) walk away, I'd beg you on my knees to stay

Don't blame me, love made me crazy
If it doesn't, you ain't doin' it right
Lord, save me, my drug is my baby
I'll be usin' for the rest of my life (Yeah, ooh)
Don't blame me, love made me crazy
If it doesn't, you ain't doin' it right (Doin' it right)
Oh, Lord, save me, my drug is my baby
I'll be usin' for the rest of my life

I get so high, oh
Every time you're, every time you're lovin' me
You're lovin' me
Trip of my life, oh
Every time you're, every time you're touchin' me
You're touchin' me
Every time you're, every time you're lovin' me
Oh, Lord, save me, my drug is my baby
I'll be usin' for the rest of my life
(Usin' for the rest of my life, oh-woah-oh-oh)

Don't blame me, love made me crazy
If it doesn't, you ain't doin' it right (Doin' it right, no)
Lord, save me, my drug is my baby
I'll be usin' for the rest of my life, oh-oh
Don't blame me, love made me crazy (Oh-oh-oh)
If it doesn't, you ain't doin' it right (You ain't doin' it right)
Oh, Lord, save me, my drug is my baby
I'll be usin' for the rest of my life (I'll be usin', I'll be usin')

I get so high, oh
Every time you're, every time you're lovin' me
You're lovin' me
Oh, Lord, save me, my drug is my baby
I'll be usin' for the rest of my life",Solo
62,Don't You,Taylor Swift,Taylor Swift Tommy Lee James,Fearless (Taylor's Version),2021,"Hey, I knew I'd run into you somewhere
It's been a while, I didn't mean to stare
I heard she's nothin' like me
I'm sure she'll make you happy

But don't you, don't you
Smile at me and ask me how I've been
Don't you say you've
Missed me if you don't want me again
You don't know how much I feel I love you still
So why don't you, don't you?

Ah, ah, ah, ah
Ah, ah, ah

Sometimes, I really wish that I could hate you
I've tried, but that's just somethin' I can't do
My heart knows what the truth is
I swore I wouldn't do this

But don't you, don't you
Smile at me and ask me how I've been
Don't you say you've
Missed me if you don't want me again
You don't know how much I feel I love you still
So why don't you, don't you?
So I'll walk out of here tonight
Try to go on with my life
And you can say we're still friends
(But I don't wanna pretend)
So if I see you again

Don't you (Don't you), don't you
Smile at me and ask me how I've been
Don't you (Don't you) say you've
Missed me if you don't want me again
You don't (You don't) know how much I feel I love you still
So why don't you, don't you?

Ah, ah, ah, ah
Don't you (Ah, ah, ah)",Solo
63,Dorothea,Taylor Swift,Taylor Swift Aaron Dessner,Evermore,2020,"Hey, Dorothea, do you ever stop and think about me?
When we were younger, down in the park
Honey, makin' a lark of the misery
You got shiny friends since you left town
A tiny screen's the only place I see you now
And I got nothin' but well wishes for ya

Ooh
This place is the same as it ever was
Ooh
But you won't like it that way

It's never too late to come back to my side
The stars in your eyes shined brighter in Tupelo
And if you're ever tired of bеin' known for who you know
You know that you'll always know me
Dorothea, uh-uh
Dorothea, ah-ah

Ooh
You'rе a queen sellin' dreams, sellin' makeup and magazines
Ooh
From you, I'd buy anything
Hey, Dorothea, do you ever stop and think about me?
When it was calmer, skippin' the prom
Just to piss off your mom and her pageant schemes
And damn, Dorothea, they all wanna be ya
But are you still the same soul I met under the bleachers? Well

Ooh
I guess I'll never know
Ooh
And you'll go on with the show

But it's never too late to come back to my side
The stars in your eyes shined brighter in Tupelo
And if you're ever tired of bein' known for who you know
You know, you'll always know me
Dorothea, uh-uh
Dorothea, ah-ah

Ooh, ooh
Ooh-woo-ooh-ooh-ooh, ooh-ooh-ooh-ooh
Ooh, ooh
Ooh-woo-ooh-ooh-ooh, ooh-ooh-ooh
Dorothea (Ah-ah-ah)
Ah-ah
Ooh",Solo
64,Dress,Taylor Swift,Taylor Swift  Jack Antonoff,Reputation,2017,"Our secret moments in a crowded room
They got no idea about me and you
There is an indentation in the shape of you
Made your mark on me, a golden tattoo

All of this silence and patience, pining and anticipation
My hands are shaking from holding back from you
Ha, ah, ah
All of this silence and patience, pining and desperately waiting
My hands are shaking from all this
Ah, ha, ha, ha-ah

Say my name and everything just stops
I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah
Carve your name into my bedpost
'Cause I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah

Inescapable, I'm not even gonna try
And if I get burned, at least we were electrified
I'm spilling wine in the bathtub
You kiss my face and we're both drunk
Everyone thinks that they know us
But they know nothin' about
All of this silence and patience, pining and anticipation
My hands are shaking from holding back from you
Ha, ah, ah
All of this silence and patience, pining and desperately waiting
My hands are shaking from all this
Ah, ha, ha, ha-ah

Say my name and everything just stops
I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah
Carve your name into my bedpost
'Cause I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha

Ha-ah-ah, ha-ah-ah, ha-ah-ah-ah
Only bought this dress so you could take it off
Ha-ah-ah, ha-ah-ah, ha-ah-ah-ah
Only bought this dress so you could take it off

Flashback when you met me, your buzzcut and my hair bleached
Even in my worst times, you could see the best in me
Flashback to my mistakes, my rebounds, my earthquakes
Even in my worst lies, you saw the truth in me
And I woke up just in time, now I wake up by your side
My one and only, my lifeline
I woke up just in time, now I wake up by your side
My hands shake, I can't explain this
Ah, ha, ha, ha-ah
Say my name and everything just stops
I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah
Carve your name into my bedpost
'Cause I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah

There is an indentation in the shape of you
Only bought this dress so you could take it off
You made your mark on me, golden tattoo
Only bought this dress so you could take it off",Solo
65,Drops of Jupiter (live cover),Taylor Swift,Charlie Colin  Rob Hotchkiss  Jimmy Stafford  Pat Monahan  Scott Underwood,Speak Now World Tour – Live,2011,"You know... You guys have a lot of amazing bands from this part of the world, did you know that?

Now that he's back in the atmosphere
With drops of Jupiter in his hair, hey, hey
He walks like summer and talks like rain
Reminds me that there's time to change, hey, hey
Since his return from the stay on the moon
He listens like spring and he talks like June, hey, hey

Tell me, did you sail across the sun?
Did you make it to the Milky Way
To see the lights are faded
And that heaven is overrated?
Tell me, did you fall for a shooting star?
One without a permanent scar
And did you miss me
While you were looking for yourself out there?

Now that he's back from that soul vacation
Tracing his way through the constellation, hey, hey
He checks out Mozart while he does Tae-Bo
Reminds me that there's room to grow, hey, hey
Now that he's back in the atmosphere
I'm afraid that he might think of me as
Plain ol' Jane told a story about a man
Who is too afraid to fly so he never did land
Tell me, did the wind sweep you off your feet?
Did you finally get the chance
To dance along in the light of day
And head back to the Milky Way?
And tell me, did Venus blow your mind?
Was it everything you wanted to find?
And did you miss me
While you were looking for yourself out there?

Can you imagine no love, pride, deep-fried chicken
Your best friend always sticking up for you
Even when I know you're wrong?
Can you imagine no first dance, freeze dried romance
Five-hour phone conversation
The best soy latte that you ever had, and me?

Tell me, did the wind sweep you off your feet?
Did you finally get the chance
To dance along the light of day
And head back to the Milky Way?
And tell me, did you fall for a shooting star?
One without a permanent scar?
And did you miss me while
You were looking for yourself?
Na na na na na na, na na na na na na na, oh
Na na na na na na, na na na na na na na, oh
Na na na na na na, na na na na na na na, oh
Na na na na na na, na na na na na na na, oh

Can you imagine no love, pride, deep-fried chicken
Your best friend always sticking up for you
Even when I know you're wrong?
Can you imagine no first dance, freeze dried romance
Five-hour phone conversation
The best soy latte that you ever had, and me?",Cover
66,Enchanted,Taylor Swift,Taylor Swift,Speak Now,2010,"There I was again tonight
Forcing laughter, faking smiles
Same old tired, lonely place
Walls of insincerity
Shifting eyes and vacancy
Vanished when I saw your face
All I can say is it was enchanting to meet you

Your eyes whispered, ""Have we met?""
Across the room, your silhouette
Starts to make its way to me
The playful conversation starts
Counter all your quick remarks
Like passing notes in secrecy
And it was enchanting to meet you
All I can say is I was enchanted to meet you

This night is sparkling, don't you let it go
I'm wonderstruck, blushing all the way home
I'll spend forever wondering if you knew
I was enchanted to meet you

The lingering question kept me up
2AM, who do you love?
I wonder 'til I'm wide awake
Now, I'm pacing back and forth
Wishing you were at my door
I'd open up and you would say
""Hey, it was enchanting to meet you""
All I know is I was enchanted to meet you
This night is sparkling, don't you let it go
I'm wonderstruck, blushing all the way home
I'll spend forever wondering if you knew
This night is flawless, don't you let it go
I'm wonderstruck, dancing around all alone
I'll spend forever wondering if you knew
I was enchanted to meet you


This is me praying that
This was the very first page
Not where the storyline ends
My thoughts will echo your name
Until I see you again
These are the words I held back
As I was leaving too soon
I was enchanted to meet you
Please don't be in love with someone else
Please don't have somebody waiting on you
Please don't be in love with someone else (Ooh)
Please don't have somebody waiting on you (Ooh, oh)

This night is sparkling, don't you let it go
I'm wonderstruck, blushing all the way home
I'll spend forever wondering if you knew
This night is flawless (Please don't be in love with someone else)
Don't you let it go
I'm wonderstruck (Please don't have somebody waiting on you)
Dancing around all alone
I'll spend forever (Please don't be in love with someone else)
Wondering if you knew
I was enchanted to meet you
Please don't be in love with someone else
Please don't have somebody waiting on you",Solo
